Nombre;Sigla;Codigo
Fundamentos de Biología;FB;101520
Fundamentos de Física;FF;101526
Fundamentos de Matemáticas;FM;101528
Fundamentos de Química;FQ;101523
Geología;GEO;660006
Administración y Legislación Ambiental;ALA;101531
Ecología;E;101521
Meteorología y Climatología;MC;101527
Química Ambiental;QA;101524
Sistemas de Información  Geográfica;SIG;101543
Gestión del Medio Físico;GMF;101537
Ordenación del Territorio y Riesgos  Naturales;OTRN;101536
Química Analítica Medioambiental;QAM;101550
Toxicología Ambiental y Salud Pública;TASP;101548
Tratamiento de Aguas Residuales;TAR;101533
Análisis de Datos Ambientales;ADA;101552
Calidad y Empresa;CE;101547
Educación Ambiental;EA;101546
Evaluación de Impacto Ambiental: Instrumentos de Prevención y Control;EIAIPC;101541
Interacción de Genes y Ambiente;IGA;101553
Organización y Gestión de Proyectos;OGP;660059
Planeamiento Territorial y Urbano;PTU;101560
Actividades Humanas y Medio Ambiente;AHMA;101530
Bases Botánicas para la Gestión del Medioambiente;BBPGM;101539
Cartografía Aplicada;CA;101544
Estadística;EST;101545
Fundamentos Zoológicos para el estudio del Medio Ambiente;FZPEMA;101538
Bases de Ingenieria Ambiental;BIA;101532
Economía Ambiental;EA;101529
Edafología;EDAF;660007
Gestión de Ecosistemas;GE;101549
Microbiología;MICRO;101522
Conservación de la Naturaleza:Restauración y Rehabilitación Ambiental. Paisajismo;CNRAP;101551
Contaminación Atmosférica;CA;101534
Contaminación de los Suelos por Residuos Orgánicos, Agrícolas e Industriales;CSPROAI;101535
Gestión Energética y Ecoeficiencia;GEE;101540
Sistemas de Gestión y Auditorías Ambientales;SGAA;101542
Biotecnología Ambiental;BA;101556
Contaminación por metales pesados;CPMP;101559
Control de la Contaminación mediante Catálisis;CCMC;101558
Ecofisiología Vegetal;EV;101555
Fisicoquímica de Aguas;FA;101563
Gestión de Caza y Pesca;GCP;101557
Gestión de Residuos Urbanos e Industriales;GRUI;101561
Gestión y Conservación de la Flora y Vegetación;GCFV;101564
Tecnicas para la Evaluación Urbana;TPEU;101565
Teorías y Técnicas para la Sostenibilidad Socioambiental;TTPSS;101554
