codigo_1;sigla_1;asignatura_1;curso_1;cuatrimestre_1;codigo_2;sigla_2;asignatura_2;curso_2;cuatrimestre_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico;u_confluencia;u_solapamiento_sincronico;u_solapamiento_diacronico
101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;3;2C;0;0;0,0069;0,9940;0,9871;1,0000;0,0000;0,0000
101534;CA;CONTAMINACIÓN ATMOSFÉRICA;3;2C;660006;GEO;GEOLOGÍA;1;1C;0;0;0,0074;0,9614;0,9540;1,0000;0,0000;0,0000
101523;FQ;FUNDAMENTOS DE QUÍMICA;1;1C;101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;3;1C;0;0;0,0218;0,9727;0,9509;1,0000;0,0000;0,0000
101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;3;1C;0;0;0,0104;0,9468;0,9364;1,0000;0,0000;0,0000
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;3;1C;101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;3;2C;0;0;0,0224;0,9579;0,9355;1,0000;0,0000;0,0000
101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;660007;EDAF;EDAFOLOGÍA;2;2C;0;0;0,0111;0,9441;0,9330;1,0000;0,0000;0,0000
101523;FQ;FUNDAMENTOS DE QUÍMICA;1;1C;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;3;1C;0;0;0,0466;0,9785;0,9319;1,0000;0,0000;0,0000
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;3;2C;101563;FA;FISICOQUÍMICA DE AGUAS;4;2C;0;0;0,0277;0,9588;0,9311;1,0000;0,0000;0,0000
101538;FZPEMA;FUNDAMENTOS ZOOLÓGICOS PARA EL ESTUDIO DEL MEDIO AMBIENTE;1;2C;101553;IGA;INTERACCIÓN DE GENES Y AMBIENTE;4;1C;0;0;0,0122;0,9420;0,9298;1,0000;0,0000;0,0000
101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;4;2C;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;4;2C;0;0;0,0161;0,9447;0,9286;1,0000;0,0000;0,0000
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;3;2C;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;3;1C;0;0;0,0207;0,9478;0,9271;1,0000;0,0000;0,0000
101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;101563;FA;FISICOQUÍMICA DE AGUAS;4;2C;0;0;0,0283;0,9505;0,9222;1,0000;0,0000;0,0000
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;3;2C;660007;EDAF;EDAFOLOGÍA;2;2C;0;0;0,0031;0,9209;0,9178;1,0000;0,0000;0,0000
101532;BIA;BASES DE INGENIERIA AMBIENTAL;2;2C;101563;FA;FISICOQUÍMICA DE AGUAS;4;2C;0;0;0,0278;0,9385;0,9107;1,0000;0,0000;0,0000
101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;3;1C;0;0;0,0184;0,9264;0,9080;1,0000;0,0000;0,0000
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;3;1C;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;3;1C;0;0;0,0648;0,9719;0,9071;1,0000;0,0740;0,0000
101523;FQ;FUNDAMENTOS DE QUÍMICA;1;1C;101526;FF;FUNDAMENTOS DE FÍSICA;1;1C;0;0;0,0325;0,9389;0,9064;1,0000;0,0000;0,0000
