codigo_1;sigla_1;asignatura_1;codigo_2;sigla_2;asignatura_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico
101526;FF;FUNDAMENTOS DE FÍSICA;101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;0;0;0,0069;0,9940;0,9871
101534;CA;CONTAMINACIÓN ATMOSFÉRICA;660006;GEO;GEOLOGÍA;0;0;0,0074;0,9614;0,9540
101523;FQ;FUNDAMENTOS DE QUÍMICA;101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;0;0;0,0218;0,9727;0,9509
101526;FF;FUNDAMENTOS DE FÍSICA;101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;0;0;0,0104;0,9468;0,9364
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;0;0;0,0224;0,9579;0,9355
101526;FF;FUNDAMENTOS DE FÍSICA;660007;EDAF;EDAFOLOGÍA;0;0;0,0111;0,9441;0,9330
101523;FQ;FUNDAMENTOS DE QUÍMICA;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;0;1;0,0466;0,9785;0,9319
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;101563;FA;FISICOQUÍMICA DE AGUAS;0;0;0,0277;0,9588;0,9311
101538;FZPEMA;FUNDAMENTOS ZOOLÓGICOS PARA EL ESTUDIO DEL MEDIO AMBIENTE;101553;IGA;INTERACCIÓN DE GENES Y AMBIENTE;0;0;0,0122;0,9420;0,9298
101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;0;0;0,0161;0,9447;0,9286
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;0;0;0,0207;0,9478;0,9271
101526;FF;FUNDAMENTOS DE FÍSICA;101563;FA;FISICOQUÍMICA DE AGUAS;0;0;0,0283;0,9505;0,9222
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;660007;EDAF;EDAFOLOGÍA;0;0;0,0031;0,9209;0,9178
101532;BIA;BASES DE INGENIERIA AMBIENTAL;101563;FA;FISICOQUÍMICA DE AGUAS;0;0;0,0278;0,9385;0,9107
101526;FF;FUNDAMENTOS DE FÍSICA;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;0;0;0,0184;0,9264;0,9080
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;0;0;0,0648;0,9719;0,9071
101523;FQ;FUNDAMENTOS DE QUÍMICA;101526;FF;FUNDAMENTOS DE FÍSICA;0;0;0,0325;0,9389;0,9064
101524;QA;QUÍMICA AMBIENTAL;101555;EV;ECOFISIOLOGÍA VEGETAL;0;0;0,0538;0,9601;0,9063
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;0;0;0,0310;0,9331;0,9021
